"axiom" "refc" "conf" "expt" "poss" "nec" "time" "ari" "bls" "ncis" "tp"
"SubClassOf(schema:Book skos:Concept)" 28128 41 0 1 0.0539733261284515 11987 0.0539733261284514 0.0390491821517952 9 253152
"SubClassOf(schema:Book foaf:Person)" 28128 29 0 1 0.045397569449993 1164996 0.0453975694499931 0.0330647344047254 9 253152
"SubClassOf(dbo:Road dbo:ArchitecturalStructure)" 17890 17890 0 1 1 10792 1 0.989584035912579 10 178900
"SubClassOf(dbo:Road dbo:Infrastructure)" 17890 17890 0 1 1 9329 1 0.989584035912579 10 178900
"SubClassOf(dbo:Road dbo:Place)" 17890 17890 0 1 1 8662 1 0.989584035912579 10 178900
"SubClassOf(dbo:Road dbo:PopulatedPlace)" 17890 2 0 1 0.0149524613029509 11039840 0.0149524613029508 0.0147623152491832 10 178900
"SubClassOf(dbo:Road dbo:RouteOfTransportation)" 17890 17890 0 1 1 8007 1 0.989584035912579 10 178900
"SubClassOf(dbo:Road dbo:Settlement)" 17890 2 0 1 0.0149524613029509 11068989 0.0149524613029508 0.0147623152491832 10 178900
"SubClassOf(dbo:Road schema:Place)" 17890 17890 0 1 1 8955 1 0.989584035912579 10 178900
"SubClassOf(dbo:Road gml:_Feature)" 17890 1576 0 1 0.41039892535655 7252 0.410398925356551 0.321986877145094 10 178900
"SubClassOf(dbo:Road owl:Thing)" 17890 17890 0 1 1 9429 1 0.989584035912579 10 178900
"SubClassOf(dbo:Road skos:Concept)" 17890 43 0 1 0.0692919739270084 8958 0.0692919739270084 0.0503404889131233 10 178900
"SubClassOf(dbo:Cyclist dbo:Agent)" 3855 3855 0 1 1 1034 1 0.977436436266084 7 26985
"SubClassOf(dbo:Cyclist dbo:Athlete)" 3855 3855 0 1 1 1501 1 0.977436436266084 7 26985
"SubClassOf(dbo:Cyclist dbo:Person)" 3855 3855 0 1 1 1410 1 0.977436436266084 7 26985
"SubClassOf(dbo:Cyclist schema:Person)" 3855 3855 0 1 1 923 1 0.977436436266084 7 26985
"SubClassOf(dbo:Cyclist gml:_Feature)" 3855 4 0 1 0.0455428406689589 6264 0.0455428406689589 0.039389770599659 7 26985
"SubClassOf(dbo:Cyclist owl:Thing)" 3855 3855 0 1 1 1744 1 0.977436436266084 7 26985
"SubClassOf(dbo:Cyclist foaf:Person)" 3855 3855 0 1 1 846 1 0.977436436266084 7 26985
"SubClassOf(dbo:Beverage dbo:Food)" 697 697 0 1 1 171 1 0.946302366008779 5 3485
"SubClassOf(dbo:Beverage gml:_Feature)" 697 9 0 1 0.160181871442712 996 0.160181871442712 0.129640790210168 5 3485
"SubClassOf(dbo:Beverage owl:Thing)" 697 697 0 1 1 162 1 0.946302366008779 5 3485
"SubClassOf(dbo:Beverage skos:Concept)" 697 5 0 1 0.119564801434724 154 0.119564801434724 0.102432763602637 5 3485
"SubClassOf(dbo:Beverage foaf:Person)" 697 1 0 1 0.0535479414821285 6247 0.0535479414821285 0.0661127530092702 5 3485
"SubClassOf(dbo:Chancellor dbo:Agent)" 86 86 0 1 1 32 1 0.844431453575631 6 516
"SubClassOf(dbo:Chancellor dbo:Person)" 86 86 0 1 1 40 1 0.844431453575631 6 516
"SubClassOf(dbo:Chancellor dbo:Politician)" 86 86 0 1 1 42 1 0.844431453575631 6 516
"SubClassOf(dbo:Chancellor schema:Person)" 86 86 0 1 1 30 1 0.844431453575631 6 516
"SubClassOf(dbo:Chancellor owl:Thing)" 86 86 0 1 1 48 1 0.844431453575631 6 516
"SubClassOf(dbo:Chancellor foaf:Person)" 86 86 0 1 1 28 1 0.844431453575631 6 516
"SubClassOf(dbo:SportCompetitionResult dbo:OlympicResult)" 750 750 0 1 1 115 1 0.948268156389729 2 1500
"SubClassOf(dbo:SportCompetitionResult owl:Thing)" 750 750 0 1 1 196 1 0.948268156389729 2 1500
"SubClassOf(dbo:Library dbo:Agent)" 708 708 0 1 1 3524 1 0.946728610090482 13 9204
"SubClassOf(dbo:Library dbo:ArchitecturalStructure)" 708 708 0 1 1 1051 1 0.946728610090482 13 9204
"SubClassOf(dbo:Library dbo:Building)" 708 708 0 1 1 851 1 0.946728610090482 13 9204
"SubClassOf(dbo:Library dbo:EducationalInstitution)" 708 708 0 1 1 908 1 0.946728610090482 13 9204
